年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),平均風速(m/s),最大風速(m/s),風向,最大瞬間風速(m/s),風向,最多風向(16方位),平均蒸気圧(hPa),最小相対湿度(％),平均湿度(％),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時)
2021/10/9,21.9,27.5,19.2,0,3,2.3,6.3,西南西,11.3,西,西南西,19.3,51,74,曇後時々晴,曇一時晴
2021/10/10,22.9,29,19.2,0,9.2,4.7,7.6,西,11.5,西,西南西,17.8,46,65,晴,晴
2021/10/11,20.8,28.8,16,0,10.1,2.6,8.4,北北西,12.9,北北西,南,17.4,43,72,晴後一時曇,曇
2021/10/12,17.6,19.6,16.6,12.5,0,1.4,3.7,北東,5.6,北東,東,17.8,75,88,曇後時々雨,雨時々曇
2021/10/13,17.6,20.6,16.3,10,0.5,1.2,3.1,北西,5.1,北西,東北東,18.6,78,93,雨時々曇,曇時々雨後一時晴
2021/10/14,18.1,23.9,14.8,0,8.9,1.8,5.7,北北西,8.9,北北西,東,15.9,47,78,晴一時曇,曇時々晴
2021/10/15,17.7,23.4,13.4,0,8.1,2.1,6.9,北北西,11.9,北北西,北,15.5,55,78,晴後一時曇,曇一時晴
2021/10/16,20.6,28.8,15.2,3.5,8.7,2.6,6.6,南西,11.1,北北西,東北東,17,37,72,晴後一時曇,雨一時曇
2021/10/17,11.4,15.3,7.4,6.5,3.2,4.3,8,北北東,14.1,北東,東北東,11.4,64,83,曇時々晴一時雨,晴時々曇
2021/10/18,10.5,16.1,5,0,8.9,2.2,5.6,西南西,9.7,南西,東南東,8.8,49,71,晴一時曇,曇
2021/10/19,13.5,19.6,9.3,0,7.5,2.6,5.3,南西,9.4,西南西,西南西,10.5,47,69,晴後時々曇一時雨,曇時々雨
2021/10/20,10.5,15.7,6,0.5,5.6,2.4,7.9,北東,12.9,北西,北北東,9.7,43,77,晴時々雨一時曇,晴時々曇一時雨
2021/10/21,9.3,14.2,5.3,0,6.3,2.3,6.5,北東,10.7,東北東,北東,8.7,52,75,晴時々曇,曇後一時晴
2021/10/22,10.2,15.5,6.9,0,5.6,2.6,9.3,北北西,14.8,北,北,9.1,50,74,曇時々晴,雨時々曇
2021/10/23,8.7,11.9,6.1,0,3.9,2.7,6.9,北,10.6,北,東北東,9.1,65,81,雨時々曇一時晴,曇時々晴一時雨
2021/10/24,9.8,17.1,4.1,0,9.8,2.2,6.7,北北西,9.8,北北西,西,8.7,39,73,晴後一時曇,晴時々曇
2021/10/25,9.8,14.6,5.8,6,0,2.4,7,西北西,10.3,西,南西,10.1,52,84,曇後時々雨,雨
2021/10/26,10.9,15.2,7.9,15,0.9,2,6.9,北,10.8,北北東,西北西,11.4,68,88,曇一時雨,晴時々曇
2021/10/27,11.8,17.5,6.9,0,4.7,1.5,4,東,5.9,北,西南西,11.4,61,84,曇時々晴,晴時々曇
2021/10/28,11.4,17.2,7.3,0,5.5,2.5,7.4,北東,10.8,北東,北,10.7,50,81,晴時々曇,晴後一時雨
2021/10/29,9.9,15.9,5.8,1,5.6,2.5,6.6,北東,11.9,北,北,8.9,41,75,晴一時雨,晴
2021/10/30,9.7,18,2.7,0,9.7,1.6,4.2,東,5.9,北北西,南南東,8.9,43,75,晴,曇一時晴
2021/10/31,10.9,17.2,6.7,0,4.1,0.9,2.2,西,3.3,東南東,東,10.6,53,82,曇後時々晴,晴、霧を伴う
2021/11/1,11.3,17.2,5.7,0,3.5,1.1,3.2,北東,5.3,東北東,東北東,11.3,58,86,曇一時霧後時々晴,曇後時々晴
2021/11/2,12.5,18.9,8.6,0,5.5,2.1,6.5,北北西,12,北,北,11.5,56,80,曇時々晴,晴時々曇
2021/11/3,10,15.7,5.8,0,4.4,1.9,7.2,北東,10.6,北東,北東,10,63,82,曇時々晴一時雨,晴
2021/11/4,9.9,17.3,3.8,0,7.5,2,7.3,北北西,11.1,北,東,9.5,48,79,晴時々曇,晴時々曇
2021/11/5,9.7,16.6,4.8,0,7.6,1.8,5.3,北東,9,北,西,9.3,49,79,晴一時雨,晴
2021/11/6,9.7,17.7,3.7,0,8,1.7,7,北北西,11.4,北北西,東,8.9,42,76,晴時々曇,曇時々晴
2021/11/7,11.4,18.7,5.2,0,9.5,1.9,7.2,西南西,10.7,南西,西南西,9.5,42,72,晴,晴
2021/11/8,14.7,19.3,7.7,0,6.2,4.5,8.7,西南西,13.7,南西,西南西,10.1,45,62,晴後曇,曇後一時雨
2021/11/9,13.5,15.6,11,19,0,4.7,11.2,西,15.6,西,西,12.7,57,82,雨時々曇,曇時々雨
2021/11/10,11.8,16.3,8.2,1,8.6,3.5,7.4,南南西,13.8,南南西,西南西,8.1,28,61,晴時々雨一時曇,晴後一時曇
2021/11/11,10.3,18.1,4.8,0,6.9,2.1,5.7,西南西,9.5,南南西,西南西,7.3,28,62,晴時々曇,晴
2021/11/12,7.6,13.5,3.1,0,5.7,1.7,8.1,西北西,11.5,西南西,西,7.3,37,72,晴時々曇一時雨,晴時々曇
2021/11/13,7.3,14.7,1.8,0,9.3,1.7,5,北北西,8.2,北北西,西,7.1,37,72,晴一時曇,晴後曇
2021/11/14,8.5,16.4,2.2,0,7.7,1.5,4.6,北北西,7.3,北,北北西,7.4,37,70,晴時々曇,晴一時曇
2021/11/15,8.7,16,2.6,0,7.8,1.7,5.4,北北東,8.3,北北東,東北東,8,37,74,晴時々曇,晴後時々曇
2021/11/16,7.9,13.3,4.6,0,3.2,1.7,6.7,北北西,10.6,北北西,東,8.3,48,79,曇一時雨後晴,曇後晴
2021/11/17,7.3,14.7,1.9,0,9.2,1.7,6.4,北北西,9.8,北北西,東南東,7.7,50,77,晴一時曇,曇時々晴
2021/11/18,8.4,16.3,3.7,0,7.5,1.4,4.8,北北西,7.5,北北西,東,7.9,36,74,曇後晴,晴
2021/11/19,8.3,16.1,1.3,0,9.1,1.5,4.8,北北東,8,北,北,7.8,38,74,晴一時曇,晴後曇一時雨
2021/11/20,9.3,15.6,6.6,0,5.7,1.6,5.7,北北西,8.9,北北西,西,8.9,51,77,晴時々曇,曇時々晴
2021/11/21,9.9,14.9,3.8,0,5,2.1,6.8,西,11.6,南西,西南西,8.7,50,72,曇時々晴,曇後時々晴
2021/11/22,11.1,16,7.3,15,0,3.4,8,西北西,11.2,西北西,西南西,11.1,60,84,曇後雨,曇時々晴一時雨
2021/11/23,7.2,13.8,3.7,0,8.4,3.1,8.2,西北西,13.6,南西,西北西,6.6,29,68,晴時々曇,曇一時晴後時々雨
2021/11/24,5.9,9.8,3.2,0,4.6,2.3,8.1,西北西,13.7,西,西,6.3,37,69,雨後曇時々晴,曇
2021/11/25,7.2,15.3,2,2,6,2.6,8.2,南西,13.7,南西,南西,6.7,26,69,晴後一時雨,雨時々曇
2021/11/26,7,12,3.7,0,7.4,1.8,5.7,北,8.8,東,西北西,7.9,56,80,晴時々曇後一時雨,曇時々晴後雨一時みぞれ
2021/11/27,2,5.1,-0.1,12.5,2.2,1.9,6.6,西,11.1,西,東北東,6.5,67,92,みぞれ時々雨一時雪、雷を伴う,みぞれ時々曇、雷・霧を伴う
2021/11/28,2.3,7.1,-0.5,0,6.6,1.4,4.2,東北東,6.3,東北東,東北東,6.5,67,90,晴時々曇,晴後時々曇、霧を伴う
2021/11/29,1.4,8.3,-2.2,0,4.1,0.9,2.2,東,4.1,南,北西,5.7,56,85,曇時々晴,晴後時々霧一時曇
2021/11/30,6.3,14.8,-3.1,0,6.8,2.2,6.8,南西,12.4,南西,南西,6.5,43,71,晴時々曇一時霧,曇後時々雨
2021/12/1,9.1,14.1,3.3,19,4.9,4.4,8.3,西,12.5,西,西北西,8.1,33,69,晴時々曇一時雨,曇時々晴一時雪
2021/12/2,3.5,8.6,-0.3,0,8.7,2.1,5.3,北,8,北,東北東,5.3,37,70,晴一時曇,晴
2021/12/3,4.1,13.3,-2.2,0,8.7,1.4,5.9,北,8.1,北北西,東北東,5.4,27,69,晴一時曇,曇時々晴一時みぞれ
2021/12/4,4.6,9.7,1,0,5.7,2.2,5.4,東北東,8.4,東北東,東北東,6.5,57,77,晴時々雨一時曇、みぞれを伴う,曇時々晴一時雪
2021/12/5,2.1,6.7,-1.1,0,4.1,1.8,4.6,東,7.1,東,北北東,5.4,50,77,晴時々曇,晴
2021/12/6,3.3,6.7,-2.1,0,0,1.3,2.9,東,5,南南西,北北東,7.2,79,90,雨時々曇一時雪、みぞれを伴う,曇一時晴後雨
2021/12/7,6.7,7.8,5.4,21.5,0,1.1,3,東北東,4.5,東北東,東北東,9.7,94,98,雨,雨
2021/12/8,7.5,9.2,6.1,24.5,0,2,4.9,北,9.7,北,北,9.7,83,94,雨,雨時々曇一時晴
2021/12/9,6.8,12.4,2.6,0,7.5,1.6,4.4,東,6.3,東,西,8.1,54,83,晴一時雨,晴後曇
2021/12/10,5.2,12.3,0.7,0,4.8,1.3,4.2,北東,7.2,北北東,東北東,7.1,53,82,曇時々晴,晴、霧を伴う
2021/12/11,3.6,10,-0.3,0,4,1.1,2.2,南南西,3.6,南南西,東南東,7.1,62,90,曇一時霧後晴,晴時々曇
2021/12/12,6.1,12.6,0.4,0,5.5,1.1,2.4,東南東,3.4,東南東,東,7.9,54,85,晴時々曇後一時雨、霧を伴う,雨時々曇一時晴、みぞれを伴う
2021/12/13,2.8,6.6,-0.4,0,7.6,3.8,8.1,東,13.1,東北東,東北東,6,66,80,みぞれ一時雨後晴,晴時々曇
2021/12/14,1.5,7.4,-2.7,0,8.8,1.3,3.6,東北東,5.2,北東,西,5.2,53,77,晴時々曇,晴時々曇
2021/12/15,2.6,10.2,-2.9,0,5.9,1.3,3.4,東,5.8,東北東,北東,5.7,49,78,晴時々曇,曇時々晴
2021/12/16,3.5,9.2,-1.4,0,4.2,1.2,2.7,西北西,4.3,南南西,西,6.1,54,79,曇時々晴,晴時々曇後雨
2021/12/17,3.7,9.3,-2.4,14.5,0.8,2.2,11.5,北,18.6,北北東,北東,7.3,61,91,雨時々曇,雪一時雨、みぞれを伴う
2021/12/18,-3.4,-0.5,-6.7,6,3.3,1.6,5.3,東北東,7.7,北東,東北東,4.3,69,90,雪後曇時々晴,晴後時々曇
2021/12/19,-3.5,-0.9,-7,1.5,0,0.9,3,西南西,4.2,西南西,東北東,4.5,84,94,雪時々曇,雪時々曇一時晴、霧を伴う
2021/12/20,0.2,4.5,-2.2,0,5.4,1.1,2.6,東,3.9,東,東北東,5.8,75,94,曇一時雪後晴、霧を伴う,晴一時曇後霧
2021/12/21,0.8,5.6,-1.7,0,3.6,1,2.9,東北東,4.3,南西,東南東,6.1,74,95,霧後晴一時曇,晴後曇時々みぞれ一時雨
2021/12/22,1.7,4.3,-1.1,0,2.6,3,6.5,北東,10,北,北東,5.8,63,84,みぞれ時々曇一時雪,晴
2021/12/23,1.3,6.6,-2.9,0,8.6,1.6,4.7,西南西,6.1,西南西,東北東,4.8,44,73,晴時々曇,晴時々曇
2021/12/24,2.7,8.6,-2.7,0,NaN,1.3,2.8,南西,4.2,東北東,東,5.6,49,77,晴時々曇,曇後雨
2021/12/25,1.1,4.2,-3.8,0,0.2,3.1,6.5,東,12.6,北,北東,5.8,68,86,みぞれ一時雨後曇時々雪,晴時々曇一時雪
2021/12/26,-4,-2.6,-5.8,0.5,0.1,2.5,5.1,東,7.5,北東,東北東,4,79,88,雪時々曇,曇時々雪
2021/12/27,-3.3,-0.3,-6.2,0,1.6,1.1,3.8,東,5.5,東北東,東北東,4.1,61,85,曇時々雪,雪時々曇
2021/12/28,-2,1.7,-5.3,2,5.9,2.3,6,東北東,8.2,東北東,東北東,4.4,64,84,晴時々曇一時雪,晴後一時曇
2021/12/29,-1.3,5.8,-8,0,8.2,1.3,3.5,南南西,6,南南西,南南西,4.2,47,76,晴一時曇,晴後曇一時雪
2021/12/30,0,2,-1.9,7,0.2,1.4,4,東,6.6,東,東,5.9,86,96,みぞれ時々曇一時雪、雷を伴う,曇時々雪一時みぞれ
2021/12/31,-3.3,-0.5,-5.3,4.5,0,2.5,5.1,東,7.6,北東,東北東,4.4,59,92,雪時々曇,曇時々雪
